test_name,b_bp,r_bp,txn_id,op_type,bank,latency_ns
mem_full_test,0,0,977,WR,2,40.00
mem_full_test,0,0,979,WR,2,50.00
mem_full_test,0,0,981,WR,2,60.00
mem_full_test,0,0,983,WR,2,70.00
mem_full_test,0,0,985,WR,2,60.00
mem_full_test,0,0,987,WR,2,50.00
mem_full_test,0,0,989,WR,2,60.00
mem_full_test,0,0,991,WR,2,40.00
mem_full_test,0,0,993,WR,2,40.00
mem_full_test,0,0,995,WR,2,40.00
mem_full_test,0,0,997,WR,2,40.00
mem_full_test,0,0,999,WR,2,40.00
mem_full_test,0,0,1001,WR,2,50.00
mem_full_test,0,0,1003,WR,2,60.00
mem_full_test,0,0,1005,WR,2,40.00
mem_full_test,0,0,1007,WR,2,40.00
mem_full_test,0,0,1009,WR,2,50.00
mem_full_test,0,0,1011,WR,2,50.00
mem_full_test,0,0,1013,WR,2,40.00
mem_full_test,0,0,1015,WR,2,40.00
mem_full_test,0,0,1017,WR,2,40.00
mem_full_test,0,0,1019,WR,2,40.00
mem_full_test,0,0,1021,WR,2,40.00
mem_full_test,0,0,1023,WR,2,40.00
mem_full_test,0,0,1025,WR,2,40.00
mem_full_test,0,0,1027,WR,2,40.00
mem_full_test,0,0,1029,WR,3,40.00
mem_full_test,0,0,1031,WR,3,40.00
mem_full_test,0,0,1033,WR,3,40.00
mem_full_test,0,0,1035,WR,3,40.00
mem_full_test,0,0,1037,WR,3,40.00
mem_full_test,0,0,1039,WR,3,40.00
mem_full_test,0,0,1041,WR,3,40.00
mem_full_test,0,0,1043,WR,3,50.00
mem_full_test,0,0,1045,WR,3,40.00
mem_full_test,0,0,1047,WR,3,40.00
mem_full_test,0,0,1049,WR,3,40.00
mem_full_test,0,0,1051,WR,3,40.00
mem_full_test,0,0,1053,WR,3,40.00
mem_full_test,0,0,1055,WR,3,40.00
mem_full_test,0,0,1057,WR,3,40.00
mem_full_test,0,0,1059,WR,3,40.00
mem_full_test,0,0,1061,WR,3,40.00
mem_full_test,0,0,1063,WR,3,40.00
mem_full_test,0,0,1065,WR,3,40.00
mem_full_test,0,0,1067,WR,3,40.00
mem_full_test,0,0,1069,WR,3,40.00
mem_full_test,0,0,1071,WR,3,40.00
mem_full_test,0,0,1073,WR,3,40.00
mem_full_test,0,0,1075,WR,3,40.00
mem_full_test,0,0,1077,WR,3,40.00
mem_full_test,0,0,1079,WR,3,50.00
mem_full_test,0,0,1081,WR,3,40.00
mem_full_test,0,0,1083,WR,3,40.00
mem_full_test,0,0,1085,WR,3,40.00
mem_full_test,0,0,1087,WR,3,40.00
mem_full_test,0,0,1089,WR,3,40.00
mem_full_test,0,0,1091,WR,3,40.00
mem_full_test,0,0,1093,WR,3,40.00
mem_full_test,0,0,1095,WR,3,40.00
mem_full_test,0,0,1097,WR,3,40.00
mem_full_test,0,0,1099,WR,3,40.00
mem_full_test,0,0,1101,WR,3,40.00
mem_full_test,0,0,1103,WR,3,40.00
mem_full_test,0,0,1105,WR,3,40.00
mem_full_test,0,0,1107,WR,3,40.00
mem_full_test,0,0,1109,WR,3,50.00
mem_full_test,0,0,1111,WR,3,40.00
mem_full_test,0,0,1113,WR,3,40.00
mem_full_test,0,0,1115,WR,3,50.00
mem_full_test,0,0,1117,WR,3,40.00
mem_full_test,0,0,1119,WR,3,40.00
mem_full_test,0,0,1121,WR,3,40.00
mem_full_test,0,0,1123,WR,3,40.00
mem_full_test,0,0,1125,WR,3,40.00
mem_full_test,0,0,1127,WR,3,40.00
mem_full_test,0,0,1129,WR,3,40.00
mem_full_test,0,0,1131,WR,3,40.00
mem_full_test,0,0,1133,WR,3,40.00
mem_full_test,0,0,1135,WR,3,40.00
mem_full_test,0,0,1137,WR,3,50.00
mem_full_test,0,0,1139,WR,3,40.00
mem_full_test,0,0,1141,WR,3,40.00
mem_full_test,0,0,1143,WR,3,40.00
mem_full_test,0,0,1145,WR,3,40.00
mem_full_test,0,0,1147,WR,3,40.00
